                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0665,                 1.0198,                 1.3828,                0.94845,                0.72727,                 0.8647,                0.65413,                0.98029,                 1.1276,                 1.3452,               0.000614,               0.000614,               0.000614
                     72,                 1.2472,                 1.1395,                 1.5752,                0.94845,                0.72727,                 0.8647,                0.65413,                0.98029,                 1.1276,                 1.3452,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1998,                 1.0907,                 1.4424,                0.95437,                0.72727,                0.83786,                 0.6683,                0.95991,                  1.005,                 1.2996,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2473,                 1.0606,                 1.4827,                0.95437,                0.72727,                0.83786,                 0.6683,                0.95991,                  1.005,                 1.2996,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3203,                 1.2505,                  1.505,                0.92543,                0.72727,                0.83314,                0.61516,                0.96688,                 1.0513,                 1.3132,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2086,                 1.0246,                 1.4179,                0.72359,                0.72727,                0.79253,                0.59025,                0.91279,                 1.1566,                 1.2845,               0.000515,               0.000515,               0.000515
                     77,                 1.1592,                 1.0877,                 1.4005,                0.72359,                0.72727,                0.79253,                0.59025,                0.91279,                 1.1566,                 1.2845,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0993,                 1.0036,                 1.3935,                  0.752,                0.72727,                0.68761,                  0.573,                0.89173,                 1.1466,                 1.3085,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0638,                 1.0759,                 1.3838,                0.66612,                0.72727,                0.65143,                0.55291,                0.99717,                 1.4046,                  1.423,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1461,                 1.0694,                 1.3774,                0.66612,                0.72727,                0.65143,                0.55291,                0.99717,                 1.4046,                  1.423,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0926,                 1.0115,                 1.3584,                0.66201,                0.72727,                0.64033,                0.53594,                0.97908,                 1.4471,                 1.3978,               0.000416,               0.000416,               0.000416
                     82,                 1.2111,                 1.0761,                 1.5146,                0.66201,                0.72727,                0.64033,                0.53594,                0.97908,                 1.4471,                 1.3978,              0.0003962,              0.0003962,              0.0003962
